ICD10,relationship,ICD9
H53.32,<9-10>,368.33
H53.31,<9-10>,368.34
H53.40,<9-10>,368.40
H53.419,<9-10>,368.41
H53.429,<9-10>,368.42
H53.439,<9-10>,368.43
H53.459,<9-10>,368.44
H53.489,<9-10>,368.45
H53.469,<9-10>,368.46
H53.47,<9-10>,368.47
H53.54,<9-10>,368.51
H53.53,<9-10>,368.52
H53.55,<9-10>,368.53
H53.51,<9-10>,368.54
H53.52,<9-10>,368.55
H53.59,<9-10>,368.59
H53.60,<9-10>,368.60
H53.63,<9-10>,368.61
H53.62,<9-10>,368.62
H53.61,<9-10>,368.63
H53.69,<9-10>,368.69
H53.8,<9-10>,368.8
H53.9,<9-10>,368.9
H54.0,<9-10>,369.00
H54.0,<9-10>,369.01
H54.10,<9-10>,369.10
H54.2,<9-10>,369.20
H54.2,<9-10>,369.25
H54.3,<9-10>,369.3
H54.8,<9-10>,369.4
H54.40,<9-10>,369.60
H54.41,<9-10>,369.63
H54.41,<9-10>,369.66
H54.41,<9-10>,369.69
H54.50,<9-10>,369.70
H54.40,<9-10>,369.71
H54.60,<9-10>,369.8
H54.7,<9-10>,369.9
H16.009,<9-10>,370.00
H16.049,<9-10>,370.01
H16.029,<9-10>,370.02
H16.019,<9-10>,370.03
H16.039,<9-10>,370.04
H16.069,<9-10>,370.05
H16.079,<9-10>,370.06
H16.059,<9-10>,370.07
H16.109,<9-10>,370.20
H16.149,<9-10>,370.21
H16.119,<9-10>,370.22
H16.129,<9-10>,370.23
H16.139,<9-10>,370.24
H16.259,<9-10>,370.31
H16.269,<9-10>,370.32
H16.229,<9-10>,370.33
H16.219,<9-10>,370.34
H16.239,<9-10>,370.35
H16.209,<9-10>,370.40
H16.299,<9-10>,370.44
H16.299,<9-10>,370.49
H16.309,<9-10>,370.50
H16.329,<9-10>,370.52
H16.339,<9-10>,370.54
H16.319,<9-10>,370.55
H16.399,<9-10>,370.59
H16.409,<9-10>,370.60
H16.439,<9-10>,370.61
H16.429,<9-10>,370.62
H16.449,<9-10>,370.63
H16.419,<9-10>,370.64
H16.8,<9-10>,370.8
H16.9,<9-10>,370.9
H17.9,<9-10>,371.00
H17.819,<9-10>,371.01
H17.829,<9-10>,371.02
H17.13,<9-10>,371.03
H17.03,<9-10>,371.04
H18.009,<9-10>,371.10
H18.019,<9-10>,371.11
H18.069,<9-10>,371.12
H18.059,<9-10>,371.13
H18.049,<9-10>,371.14
H18.039,<9-10>,371.15
H18.029,<9-10>,371.16
H18.20,<9-10>,371.20
H18.229,<9-10>,371.21
H18.239,<9-10>,371.22
H18.13,<9-10>,371.23
H18.219,<9-10>,371.24
H18.30,<9-10>,371.30
H18.319,<9-10>,371.31
H18.329,<9-10>,371.32
H18.339,<9-10>,371.33
H18.40,<9-10>,371.40
H18.419,<9-10>,371.41
H18.839,<9-10>,371.42
H18.429,<9-10>,371.43
H18.43,<9-10>,371.44
H18.449,<9-10>,371.45
H18.459,<9-10>,371.46
H18.469,<9-10>,371.48
H18.49,<9-10>,371.49
H18.50,<9-10>,371.50
H18.52,<9-10>,371.51
H18.59,<9-10>,371.52
H18.53,<9-10>,371.53
H18.54,<9-10>,371.54
H18.55,<9-10>,371.55
H18.51,<9-10>,371.57
H18.609,<9-10>,371.60
H18.619,<9-10>,371.61
H18.629,<9-10>,371.62
H18.70,<9-10>,371.70
H18.719,<9-10>,371.71
H18.739,<9-10>,371.72
H18.729,<9-10>,371.73
H18.819,<9-10>,371.81
H18.829,<9-10>,371.82
H18.899,<9-10>,371.89
H18.9,<9-10>,371.9
H10.33,<9-10>,372.00
H10.239,<9-10>,372.01
H10.019,<9-10>,372.02
H10.029,<9-10>,372.03
H10.229,<9-10>,372.04
H10.13,<9-10>,372.05
H10.219,<9-10>,372.06
H10.409,<9-10>,372.10
H10.429,<9-10>,372.11
H10.439,<9-10>,372.12
H10.44,<9-10>,372.13
H10.45,<9-10>,372.14
H10.509,<9-10>,372.20
H10.529,<9-10>,372.21
H10.539,<9-10>,372.22
H10.9,<9-10>,372.30
H10.819,<9-10>,372.34
H10.89,<9-10>,372.39
H11.009,<9-10>,372.40
H11.049,<9-10>,372.41
H11.059,<9-10>,372.42
H11.029,<9-10>,372.43
H11.039,<9-10>,372.44
H11.069,<9-10>,372.45
H11.10,<9-10>,372.50
H11.159,<9-10>,372.51
H11.819,<9-10>,372.52
H11.149,<9-10>,372.53
H11.129,<9-10>,372.54
H11.139,<9-10>,372.55
H11.119,<9-10>,372.56
H11.229,<9-10>,372.61
H11.219,<9-10>,372.62
H11.239,<9-10>,372.63
H11.249,<9-10>,372.64
H11.439,<9-10>,372.71
H11.33,<9-10>,372.72
H11.429,<9-10>,372.73
H11.419,<9-10>,372.74
H11.449,<9-10>,372.75
H11.829,<9-10>,372.81
H11.89,<9-10>,372.89
H11.9,<9-10>,372.9
H01.009,<9-10>,373.00
H01.019,<9-10>,373.01
H01.029,<9-10>,373.02
H00.019,<9-10>,373.11
H00.029,<9-10>,373.12
H00.039,<9-10>,373.13
H00.19,<9-10>,373.2
H01.139,<9-10>,373.31
H01.119,<9-10>,373.32
H01.149,<9-10>,373.33
H01.129,<9-10>,373.34
H01.8,<9-10>,373.8
H01.9,<9-10>,373.9
H02.009,<9-10>,374.00
H02.039,<9-10>,374.01
H02.029,<9-10>,374.02
H02.049,<9-10>,374.03
H02.019,<9-10>,374.04
H02.059,<9-10>,374.05
H02.109,<9-10>,374.10
H02.139,<9-10>,374.11
H02.129,<9-10>,374.12
H02.149,<9-10>,374.13
H02.119,<9-10>,374.14
H02.209,<9-10>,374.20
H02.239,<9-10>,374.21
H02.229,<9-10>,374.22
H02.219,<9-10>,374.23
H02.409,<9-10>,374.30
H02.439,<9-10>,374.31
H02.429,<9-10>,374.32
H02.419,<9-10>,374.33
H02.36,<9-10>,374.34
H02.539,<9-10>,374.41
H02.519,<9-10>,374.43
H02.59,<9-10>,374.44
H02.59,<9-10>,374.45
H02.529,<9-10>,374.46
H02.70,<9-10>,374.50
H02.66,<9-10>,374.51
H02.719,<9-10>,374.52
H02.739,<9-10>,374.53
H02.869,<9-10>,374.54
H02.729,<9-10>,374.55
H02.79,<9-10>,374.56
H02.89,<9-10>,374.81
H02.849,<9-10>,374.82
H02.859,<9-10>,374.83
H02.829,<9-10>,374.84
H02.879,<9-10>,374.85
H02.819,<9-10>,374.86
H02.839,<9-10>,374.87
H02.89,<9-10>,374.89
H02.9,<9-10>,374.9
H04.009,<9-10>,375.00
H04.019,<9-10>,375.01
H04.029,<9-10>,375.02
H04.039,<9-10>,375.03
H04.119,<9-10>,375.11
H04.139,<9-10>,375.12
H04.149,<9-10>,375.13
H04.159,<9-10>,375.14
H04.129,<9-10>,375.15
H04.169,<9-10>,375.16
H04.209,<9-10>,375.20
H04.219,<9-10>,375.21
H04.229,<9-10>,375.22
H04.309,<9-10>,375.30
H04.339,<9-10>,375.31
H04.329,<9-10>,375.32
H04.319,<9-10>,375.33
H04.429,<9-10>,375.41
H04.419,<9-10>,375.42
H04.439,<9-10>,375.43
H04.529,<9-10>,375.51
H04.569,<9-10>,375.52
H04.549,<9-10>,375.53
H04.579,<9-10>,375.54
H04.539,<9-10>,375.55
H04.559,<9-10>,375.56
H04.519,<9-10>,375.57
H04.619,<9-10>,375.61
H04.69,<9-10>,375.69
H04.819,<9-10>,375.81
H04.89,<9-10>,375.89
H04.9,<9-10>,375.9
H05.00,<9-10>,376.00
H05.019,<9-10>,376.01
H05.039,<9-10>,376.02
H05.029,<9-10>,376.03
H05.049,<9-10>,376.04
H05.10,<9-10>,376.10
H05.119,<9-10>,376.11
H05.129,<9-10>,376.12
H05.20,<9-10>,376.30
H05.249,<9-10>,376.31
H05.239,<9-10>,376.32
H05.229,<9-10>,376.33
H05.259,<9-10>,376.34
H05.269,<9-10>,376.35
H05.219,<9-10>,376.36
H05.30,<9-10>,376.40
H05.359,<9-10>,376.42
H05.329,<9-10>,376.43
H05.319,<9-10>,376.45
H05.349,<9-10>,376.46
H05.339,<9-10>,376.47
H05.409,<9-10>,376.50
H05.419,<9-10>,376.51
H05.429,<9-10>,376.52
H05.53,<9-10>,376.6
H05.819,<9-10>,376.81
H05.829,<9-10>,376.82
H05.89,<9-10>,376.89
H05.9,<9-10>,376.9
H47.10,<9-10>,377.00
H47.11,<9-10>,377.01
H47.12,<9-10>,377.02
H47.13,<9-10>,377.03
H47.149,<9-10>,377.04
H47.20,<9-10>,377.10
H47.219,<9-10>,377.11
H47.299,<9-10>,377.12
H47.299,<9-10>,377.13
H47.239,<9-10>,377.14
H47.299,<9-10>,377.15
H47.22,<9-10>,377.16
H47.329,<9-10>,377.21
H47.399,<9-10>,377.22
H47.319,<9-10>,377.23
H47.339,<9-10>,377.24
H46.9,<9-10>,377.30
H46.00,<9-10>,377.31
H46.10,<9-10>,377.32
H46.2,<9-10>,377.33
H46.3,<9-10>,377.34
H46.8,<9-10>,377.39
H47.019,<9-10>,377.41
H47.029,<9-10>,377.42
H47.039,<9-10>,377.43
H47.099,<9-10>,377.49
H47.49,<9-10>,377.51
H47.42,<9-10>,377.52
H47.43,<9-10>,377.53
H47.41,<9-10>,377.54
H47.529,<9-10>,377.61
H47.539,<9-10>,377.62
H47.519,<9-10>,377.63
H47.639,<9-10>,377.71
H47.649,<9-10>,377.72
H47.629,<9-10>,377.73
H47.619,<9-10>,377.75
H47.9,<9-10>,377.9
H50.00,<9-10>,378.00
H50.011,<9-10>,378.01
H50.021,<9-10>,378.02
H50.031,<9-10>,378.03
H50.041,<9-10>,378.04
H50.05,<9-10>,378.05
H50.06,<9-10>,378.06
H50.07,<9-10>,378.07
H50.08,<9-10>,378.08
H50.10,<9-10>,378.10
H50.111,<9-10>,378.11
H50.121,<9-10>,378.12
H50.131,<9-10>,378.13
H50.141,<9-10>,378.14
H50.15,<9-10>,378.15
H50.16,<9-10>,378.16
H50.17,<9-10>,378.17
H50.18,<9-10>,378.18
H50.30,<9-10>,378.20
H50.311,<9-10>,378.21
H50.32,<9-10>,378.22
H50.331,<9-10>,378.23
H50.34,<9-10>,378.24
H50.40,<9-10>,378.30
H50.21,<9-10>,378.31
H50.411,<9-10>,378.33
H50.42,<9-10>,378.34
H50.43,<9-10>,378.35
H50.50,<9-10>,378.40
H50.51,<9-10>,378.41
H50.52,<9-10>,378.42
H50.53,<9-10>,378.43
H50.54,<9-10>,378.44
H50.55,<9-10>,378.45
H49.889,<9-10>,378.50
H49.00,<9-10>,378.51
H49.00,<9-10>,378.52
H49.10,<9-10>,378.53
H49.20,<9-10>,378.54
H49.40,<9-10>,378.55
H49.30,<9-10>,378.56
H50.60,<9-10>,378.60
H50.611,<9-10>,378.61
H50.69,<9-10>,378.62
H50.69,<9-10>,378.63
H50.811,<9-10>,378.71
H50.89,<9-10>,378.73
H51.0,<9-10>,378.81
H51.0,<9-10>,378.82
H51.11,<9-10>,378.83
H51.12,<9-10>,378.84
H51.8,<9-10>,378.85
H51.20,<9-10>,378.86
H51.8,<9-10>,378.87
H51.9,<9-10>,378.9
H15.009,<9-10>,379.00
H15.119,<9-10>,379.01
H15.129,<9-10>,379.02
H15.019,<9-10>,379.03
H15.059,<9-10>,379.04
H15.049,<9-10>,379.05
H15.029,<9-10>,379.06
H15.039,<9-10>,379.07
H15.099,<9-10>,379.09
H15.849,<9-10>,379.11
H15.839,<9-10>,379.12
H15.819,<9-10>,379.13
H15.829,<9-10>,379.14
H15.859,<9-10>,379.15
H15.89,<9-10>,379.16
H15.89,<9-10>,379.19
H43.819,<9-10>,379.21
H43.23,<9-10>,379.22
H43.13,<9-10>,379.23
H43.399,<9-10>,379.24
H43.319,<9-10>,379.25
H43.03,<9-10>,379.26
H43.829,<9-10>,379.27
H43.89,<9-10>,379.29
H27.03,<9-10>,379.31
H27.119,<9-10>,379.32
H27.129,<9-10>,379.33
H27.139,<9-10>,379.34
H27.8,<9-10>,379.39
H57.00,<9-10>,379.40
H57.02,<9-10>,379.41
H57.03,<9-10>,379.42
H57.04,<9-10>,379.43
H57.01,<9-10>,379.45
H57.059,<9-10>,379.46
H57.09,<9-10>,379.49
H55.00,<9-10>,379.50
H55.01,<9-10>,379.51
H55.02,<9-10>,379.52
H55.03,<9-10>,379.53
H55.04,<9-10>,379.55
H55.09,<9-10>,379.56
H55.81,<9-10>,379.57
H55.89,<9-10>,379.59
H59.40,<9-10>,379.60
H59.41,<9-10>,379.61
H59.42,<9-10>,379.62
H59.43,<9-10>,379.63
H57.8,<9-10>,379.8
H57.9,<9-10>,379.90
H57.13,<9-10>,379.91
H61.009,<9-10>,380.00
H61.019,<9-10>,380.01
H61.029,<9-10>,380.02
H61.039,<9-10>,380.03
H60.00,<9-10>,380.10
H61.93,<9-10>,380.11
H60.339,<9-10>,380.12
H62.40,<9-10>,380.13
H60.20,<9-10>,380.14
H62.8X1,<9-10>,380.15
H60.40,<9-10>,380.21
H60.509,<9-10>,380.22
H60.60,<9-10>,380.23
H61.109,<9-10>,380.30
H61.129,<9-10>,380.31
H61.119,<9-10>,380.32
H61.199,<9-10>,380.39
H61.23,<9-10>,380.4
H61.309,<9-10>,380.50
H61.319,<9-10>,380.51
H61.399,<9-10>,380.52
H61.329,<9-10>,380.53
H61.819,<9-10>,380.81
H61.899,<9-10>,380.89
H61.93,<9-10>,380.9
H65.199,<9-10>,381.00
H65.00,<9-10>,381.01
H65.119,<9-10>,381.02
H65.119,<9-10>,381.03
H65.119,<9-10>,381.04
H65.119,<9-10>,381.05
H65.119,<9-10>,381.06
H65.20,<9-10>,381.10
H65.20,<9-10>,381.19
H65.30,<9-10>,381.20
H65.30,<9-10>,381.29
H65.499,<9-10>,381.3
H65.90,<9-10>,381.4
H68.009,<9-10>,381.50
H68.019,<9-10>,381.51
H68.029,<9-10>,381.52
H68.109,<9-10>,381.60
H68.119,<9-10>,381.61
H68.129,<9-10>,381.62
H68.139,<9-10>,381.63
H69.00,<9-10>,381.7
H69.80,<9-10>,381.81
H69.80,<9-10>,381.89
H69.90,<9-10>,381.9
H66.009,<9-10>,382.00
H66.019,<9-10>,382.01
H67.9,<9-10>,382.02
H66.13,<9-10>,382.1
H66.23,<9-10>,382.2
H66.3X9,<9-10>,382.3
H66.40,<9-10>,382.4
H66.90,<9-10>,382.9
H70.009,<9-10>,383.00
H70.019,<9-10>,383.01
H70.099,<9-10>,383.02
H70.10,<9-10>,383.1
H70.209,<9-10>,383.20
H70.219,<9-10>,383.21
H70.229,<9-10>,383.22
H95.199,<9-10>,383.30
H95.139,<9-10>,383.31
H95.03,<9-10>,383.32
H95.129,<9-10>,383.33
H70.819,<9-10>,383.81
H70.899,<9-10>,383.89
H70.90,<9-10>,383.9
H73.009,<9-10>,384.00
H73.019,<9-10>,384.01
H73.099,<9-10>,384.09
H73.10,<9-10>,384.1
H72.90,<9-10>,384.20
H72.00,<9-10>,384.21
H72.10,<9-10>,384.22
H72.2X9,<9-10>,384.23
H72.819,<9-10>,384.24
H72.829,<9-10>,384.25
H73.819,<9-10>,384.81
H73.829,<9-10>,384.82
H73.93,<9-10>,384.9
H74.09,<9-10>,385.00
H74.09,<9-10>,385.01
H74.09,<9-10>,385.02
H74.09,<9-10>,385.03
H74.09,<9-10>,385.09
H74.19,<9-10>,385.10
H74.319,<9-10>,385.21
H74.319,<9-10>,385.22
H74.20,<9-10>,385.23
H74.329,<9-10>,385.24
H71.93,<9-10>,385.30
H71.03,<9-10>,385.31
H71.13,<9-10>,385.32
H71.23,<9-10>,385.33
H71.33,<9-10>,385.35
H74.8X9,<9-10>,385.89
H74.90,<9-10>,385.9
H81.09,<9-10>,386.00
H81.09,<9-10>,386.01
H81.09,<9-10>,386.02
H81.09,<9-10>,386.03
H81.09,<9-10>,386.04
H81.399,<9-10>,386.10
H81.13,<9-10>,386.11
H81.23,<9-10>,386.12
H81.319,<9-10>,386.19
H81.49,<9-10>,386.2
H83.09,<9-10>,386.30
H83.09,<9-10>,386.31
H83.09,<9-10>,386.32
H83.09,<9-10>,386.33
H83.09,<9-10>,386.34
H83.09,<9-10>,386.35
H83.19,<9-10>,386.40
H83.19,<9-10>,386.41
H83.19,<9-10>,386.42
H83.19,<9-10>,386.43
H83.19,<9-10>,386.48
H83.2X9,<9-10>,386.50
H83.2X9,<9-10>,386.51
H83.2X9,<9-10>,386.52
H83.2X9,<9-10>,386.53
H83.2X9,<9-10>,386.54
H83.2X9,<9-10>,386.55
H83.2X9,<9-10>,386.56
H83.2X9,<9-10>,386.58
H81.8X9,<9-10>,386.8
H81.93,<9-10>,386.9
H80.03,<9-10>,387.0
H80.13,<9-10>,387.1
H80.23,<9-10>,387.2
H80.83,<9-10>,387.8
H80.93,<9-10>,387.9
H93.099,<9-10>,388.00
H91.13,<9-10>,388.01
H93.019,<9-10>,388.02
H83.3X9,<9-10>,388.10
H91.8X9,<9-10>,388.11
H83.3X9,<9-10>,388.12
H91.23,<9-10>,388.2
H93.19,<9-10>,388.30
H93.19,<9-10>,388.31
H93.19,<9-10>,388.32
H93.249,<9-10>,388.40
H93.229,<9-10>,388.41
H93.239,<9-10>,388.42
H93.219,<9-10>,388.44
H93.3X9,<9-10>,388.5
H92.10,<9-10>,388.60
G96.0,<9-10>,388.61
H92.20,<9-10>,388.69
H92.09,<9-10>,388.70
H93.8X9,<9-10>,388.8
H93.93,<9-10>,388.9
H90.2,<9-10>,389.00
H90.11,<9-10>,389.05
H90.0,<9-10>,389.06
H90.5,<9-10>,389.10
H90.3,<9-10>,389.11
H90.3,<9-10>,389.12
H90.41,<9-10>,389.13
H90.5,<9-10>,389.14
H90.41,<9-10>,389.15
H90.5,<9-10>,389.16
H90.41,<9-10>,389.17
H90.3,<9-10>,389.18
H90.8,<9-10>,389.20
H90.71,<9-10>,389.21
H90.6,<9-10>,389.22
H91.3,<9-10>,389.7
H91.8X9,<9-10>,389.8
H91.90,<9-10>,389.9
I00,<9-10>,390
I01.0,<9-10>,391.0
I01.1,<9-10>,391.1
I01.2,<9-10>,391.2
I01.8,<9-10>,391.8
I01.9,<9-10>,391.9
I02.0,<9-10>,392.0
I02.9,<9-10>,392.9
I09.2,<9-10>,393
I05.0,<9-10>,394.0
I05.1,<9-10>,394.1
I05.2,<9-10>,394.2
I05.8,<9-10>,394.9
I06.0,<9-10>,395.0
I06.1,<9-10>,395.1
I06.2,<9-10>,395.2
I06.8,<9-10>,395.9
I08.0,<9-10>,396.0
I08.0,<9-10>,396.1
I08.0,<9-10>,396.2
I08.0,<9-10>,396.3
I08.8,<9-10>,396.8
I08.9,<9-10>,396.9
I07.1,<9-10>,397.0
I09.89,<9-10>,397.1
I09.1,<9-10>,397.9
I09.0,<9-10>,398.0
I09.9,<9-10>,398.90
I09.81,<9-10>,398.91
I09.89,<9-10>,398.99
I10,<9-10>,401.0
I10,<9-10>,401.1
I10,<9-10>,401.9
I11.9,<9-10>,402.00
I11.0,<9-10>,402.01
I11.9,<9-10>,402.10
I11.0,<9-10>,402.11
I11.9,<9-10>,402.90
I11.0,<9-10>,402.91
I12.9,<9-10>,403.00
I12.0,<9-10>,403.01
I12.9,<9-10>,403.10
I12.0,<9-10>,403.11
I12.9,<9-10>,403.90
I12.0,<9-10>,403.91
I13.10,<9-10>,404.00
I13.0,<9-10>,404.01
I13.11,<9-10>,404.02
I13.2,<9-10>,404.03
I13.10,<9-10>,404.10
I13.0,<9-10>,404.11
I13.11,<9-10>,404.12
I13.2,<9-10>,404.13
I13.10,<9-10>,404.90
I13.0,<9-10>,404.91
I13.11,<9-10>,404.92
I13.2,<9-10>,404.93
I15.0,<9-10>,405.01
I15.8,<9-10>,405.09
I15.0,<9-10>,405.11
I15.8,<9-10>,405.19
I15.0,<9-10>,405.91
I15.8,<9-10>,405.99
I21.09,<9-10>,410.01
I21.09,<9-10>,410.11
I21.19,<9-10>,410.21
I21.11,<9-10>,410.31
I21.19,<9-10>,410.41
I21.29,<9-10>,410.51
I21.29,<9-10>,410.61
I21.4,<9-10>,410.71
I21.29,<9-10>,410.81
I21.3,<9-10>,410.91
I24.1,<9-10>,411.0
I20.0,<9-10>,411.1
I24.0,<9-10>,411.81
I24.8,<9-10>,411.89
I25.2,<9-10>,412
I20.1,<9-10>,413.1
I20.8,<9-10>,413.9
I25.10,<9-10>,414.01
I25.810,<9-10>,414.05
I25.811,<9-10>,414.06
I25.812,<9-10>,414.07
I25.3,<9-10>,414.10
I25.41,<9-10>,414.11
I25.42,<9-10>,414.12
I25.3,<9-10>,414.19
I25.82,<9-10>,414.2
I25.83,<9-10>,414.3
I25.84,<9-10>,414.4
I25.5,<9-10>,414.8
I25.9,<9-10>,414.9
I26.09,<9-10>,415.0
I26.90,<9-10>,415.12
I26.92,<9-10>,415.13
I26.99,<9-10>,415.19
I27.0,<9-10>,416.0
I27.1,<9-10>,416.1
I27.82,<9-10>,416.2
I27.2,<9-10>,416.8
I27.81,<9-10>,416.9
I28.0,<9-10>,417.0
I28.1,<9-10>,417.1
I28.8,<9-10>,417.8
I28.9,<9-10>,417.9
I32,<9-10>,420.0
I30.9,<9-10>,420.90
I30.0,<9-10>,420.91
I30.8,<9-10>,420.99
I33.0,<9-10>,421.0
I39,<9-10>,421.1
I33.9,<9-10>,421.9
I41,<9-10>,422.0
I40.9,<9-10>,422.90
I40.0,<9-10>,422.91
I40.0,<9-10>,422.92
I40.8,<9-10>,422.93
I40.8,<9-10>,422.99
I31.2,<9-10>,423.0
I31.0,<9-10>,423.1
I31.1,<9-10>,423.2
I31.4,<9-10>,423.3
I31.8,<9-10>,423.8
I31.9,<9-10>,423.9
I34.0,<9-10>,424.0
I35.0,<9-10>,424.1
I36.0,<9-10>,424.2
I37.0,<9-10>,424.3
I38,<9-10>,424.90
I39,<9-10>,424.91
I38,<9-10>,424.99
I42.3,<9-10>,425.0
I42.1,<9-10>,425.11
I42.2,<9-10>,425.18
I42.8,<9-10>,425.2
I42.4,<9-10>,425.3
I42.5,<9-10>,425.4
I42.6,<9-10>,425.5
I43,<9-10>,425.8
I42.7,<9-10>,425.9
I44.2,<9-10>,426.0
I44.30,<9-10>,426.10
I44.0,<9-10>,426.11
I44.1,<9-10>,426.12
I44.1,<9-10>,426.13
I44.4,<9-10>,426.2
I44.7,<9-10>,426.3
I45.10,<9-10>,426.4
I44.30,<9-10>,426.50
I45.2,<9-10>,426.51
I45.2,<9-10>,426.52
I45.2,<9-10>,426.53
I45.3,<9-10>,426.54
I45.5,<9-10>,426.6
I45.6,<9-10>,426.7
I45.6,<9-10>,426.81
I45.81,<9-10>,426.82
I45.89,<9-10>,426.89
I45.9,<9-10>,426.9
I47.1,<9-10>,427.0
I47.2,<9-10>,427.1
I47.9,<9-10>,427.2
I48.91,<9-10>,427.31
I48.92,<9-10>,427.32
I49.01,<9-10>,427.41
I49.02,<9-10>,427.42
I46.9,<9-10>,427.5
I49.40,<9-10>,427.60
I49.1,<9-10>,427.61
I49.3,<9-10>,427.69
I49.5,<9-10>,427.81
I49.8,<9-10>,427.89
I49.9,<9-10>,427.9
I50.9,<9-10>,428.0
I50.1,<9-10>,428.1
I50.20,<9-10>,428.20
I50.21,<9-10>,428.21
I50.22,<9-10>,428.22
I50.23,<9-10>,428.23
I50.30,<9-10>,428.30
I50.31,<9-10>,428.31
I50.32,<9-10>,428.32
I50.33,<9-10>,428.33
I50.40,<9-10>,428.40
I50.41,<9-10>,428.41
I50.42,<9-10>,428.42
I50.43,<9-10>,428.43
I50.9,<9-10>,428.9
I51.4,<9-10>,429.0
I51.5,<9-10>,429.1
I25.10,<9-10>,429.2
I51.7,<9-10>,429.3
I97.0,<9-10>,429.4
I51.1,<9-10>,429.5
I51.2,<9-10>,429.6
I51.0,<9-10>,429.71
I23.0,<9-10>,429.79
I51.89,<9-10>,429.81
I51.89,<9-10>,429.82
I51.81,<9-10>,429.83
I51.89,<9-10>,429.89
I51.9,<9-10>,429.9
I60.9,<9-10>,430
I61.9,<9-10>,431
I62.1,<9-10>,432.0
I62.00,<9-10>,432.1
I62.9,<9-10>,432.9
I65.1,<9-10>,433.00
I63.22,<9-10>,433.01
I65.29,<9-10>,433.10
I63.139,<9-10>,433.11
I65.09,<9-10>,433.20
I63.019,<9-10>,433.21
I63.59,<9-10>,433.31
I65.8,<9-10>,433.80
I63.59,<9-10>,433.81
I65.9,<9-10>,433.90
I63.20,<9-10>,433.91
I66.09,<9-10>,434.00
I63.30,<9-10>,434.01
I66.09,<9-10>,434.10
I63.40,<9-10>,434.11
I66.9,<9-10>,434.90
I63.50,<9-10>,434.91
G45.0,<9-10>,435.0
G45.0,<9-10>,435.1
G45.8,<9-10>,435.2
G45.0,<9-10>,435.3
G45.1,<9-10>,435.8
G45.9,<9-10>,435.9
I67.89,<9-10>,436
I67.2,<9-10>,437.0
I67.81,<9-10>,437.1
I67.4,<9-10>,437.2
I67.1,<9-10>,437.3
I67.7,<9-10>,437.4
I67.5,<9-10>,437.5
I67.6,<9-10>,437.6
G45.4,<9-10>,437.7
I67.89,<9-10>,437.8
I67.9,<9-10>,437.9
I69.91,<9-10>,438.0
I69.928,<9-10>,438.10
I69.920,<9-10>,438.11
I69.921,<9-10>,438.12
I69.922,<9-10>,438.13
I69.923,<9-10>,438.14
I69.928,<9-10>,438.19
I69.959,<9-10>,438.20
I69.951,<9-10>,438.21
I69.953,<9-10>,438.22
I69.939,<9-10>,438.30
I69.931,<9-10>,438.31
I69.933,<9-10>,438.32
I69.949,<9-10>,438.40
I69.941,<9-10>,438.41
I69.943,<9-10>,438.42
I69.969,<9-10>,438.50
I69.961,<9-10>,438.51
I69.963,<9-10>,438.52
I69.965,<9-10>,438.53
I69.998,<9-10>,438.6
I69.998,<9-10>,438.7
I69.990,<9-10>,438.81
I69.991,<9-10>,438.82
I69.992,<9-10>,438.83
I69.993,<9-10>,438.84
I69.898,<9-10>,438.89
I69.90,<9-10>,438.9
I70.0,<9-10>,440.0
I70.1,<9-10>,440.1
I70.209,<9-10>,440.20
I70.219,<9-10>,440.21
I70.229,<9-10>,440.22
I70.25,<9-10>,440.23
I70.269,<9-10>,440.24
I70.299,<9-10>,440.29
I70.399,<9-10>,440.30
I70.499,<9-10>,440.31
I70.599,<9-10>,440.32
I70.92,<9-10>,440.4
I70.8,<9-10>,440.8
I70.90,<9-10>,440.9
I71.00,<9-10>,441.00
I71.01,<9-10>,441.01
I71.02,<9-10>,441.02
I71.03,<9-10>,441.03
I71.1,<9-10>,441.1
I71.2,<9-10>,441.2
I71.3,<9-10>,441.3
I71.4,<9-10>,441.4
I71.8,<9-10>,441.5
I71.5,<9-10>,441.6
I71.6,<9-10>,441.7
I71.9,<9-10>,441.9
I72.1,<9-10>,442.0
I72.2,<9-10>,442.1
I72.3,<9-10>,442.2
I72.4,<9-10>,442.3
I72.0,<9-10>,442.81
I72.8,<9-10>,442.82
I72.8,<9-10>,442.83
I72.8,<9-10>,442.89
I72.9,<9-10>,442.9
I73.00,<9-10>,443.0
I73.1,<9-10>,443.1
I77.71,<9-10>,443.21
I77.72,<9-10>,443.22
I77.73,<9-10>,443.23
I77.74,<9-10>,443.24
I77.79,<9-10>,443.29
I79.8,<9-10>,443.81
I73.81,<9-10>,443.82
I73.89,<9-10>,443.89
I73.9,<9-10>,443.9
I74.01,<9-10>,444.01
I74.09,<9-10>,444.09
I74.11,<9-10>,444.1
I74.2,<9-10>,444.21
I74.3,<9-10>,444.22
I74.5,<9-10>,444.81
I74.8,<9-10>,444.89
I74.9,<9-10>,444.9
I75.019,<9-10>,445.01
I75.029,<9-10>,445.02
I75.81,<9-10>,445.81
I75.89,<9-10>,445.89
M30.0,<9-10>,446.0
M30.3,<9-10>,446.1
M31.0,<9-10>,446.20
M31.0,<9-10>,446.21
M31.0,<9-10>,446.29
M31.2,<9-10>,446.3
M31.30,<9-10>,446.4
